Company,Job,Listing Date,Location,Work Type,Teaser job,Job ID,Classification,Sub Classification,Job_URL,Classification_encoded,Cluster
Ruangguru,Master Teacher English Academy - Makassar,30+ hari yang lalu,"Makassar, Sulawesi Selatan",Kontrak,English Academy is seeking dedicated and experienced full-time English Teachers to join our team. The ideal candidates will not only excel in teach...,77901884,Pendidikan & Pelatihan,Pengajaran – Pendidikan Menengah,https://id.jobstreet.com/id/job/77901884,14,0
,Sales Executive,20 hari yang lalu,"Gowa, Sulawesi Selatan",Kontrak,"Bertemu dengan klien secara virtual atau selama kunjungan penjualan - Menjelaskan produk - Menghadiri pameran dagang, konferensi dan pertemuan - Be...",81327784,Penjualan,Perwakilan/Konsultan Penjualan,https://id.jobstreet.com/id/job/81327784,15,0
Lixil Water Technology,Sales Executive-Retail,1 hari yang lalu,"Makassar, Sulawesi Selatan",Full time,"Exciting retail sales role at leading water solutions provider, manage business on assigned area to ensure sustainable business growth.",81741736,Penjualan,Perwakilan/Konsultan Penjualan,https://id.jobstreet.com/id/job/81741736,15,0
PT Tigalapan Sukses Indonesia,Marketing SPV,1 hari yang lalu,"Makassar, Sulawesi Selatan",Full time,Marketing Supervisor memimpin dan mengelola tim pemasaran untuk meningkatkan brand awareness serta mencapai target penjualan perusahaan.,81737701,Pemasaran & Komunikasi,Asisten/Koordinator Pemasaran,https://id.jobstreet.com/id/job/81737701,12,0
Lintasarta,Account Manager - Makassar,8 hari yang lalu,"Makassar, Sulawesi Selatan",Full time,"Responsibilities:
Operate as the lead point of contact for any and all matters specific to our customers",81621725,Penjualan,Manajemen Akun & Relasi,https://id.jobstreet.com/id/job/81621725,15,0
Indomobil Finance,"Kepala Cabang (Area Kalimantan, Sulawesi, & Maluku-Papua)",4 hari yang lalu,"Makassar, Sulawesi Selatan",Full time,"Sebagai Kepala Cabang di PT Indomobil Finance Indonesia akan memimpin tim Marketing, Operation, & Collection; & opportunity handling multiple produk",81658178,Perbankan & Layanan Finansial,Lainnya,https://id.jobstreet.com/id/job/81658178,16,0
,Sales Area Makassar,4 hari yang lalu,Sulawesi Selatan,Full time,"Job Description      : Responsible for identifying, developing and managing new and ongoing business opportunities Responsible for achieving sales...",81669877,Penjualan,Perwakilan/Konsultan Penjualan,https://id.jobstreet.com/id/job/81669877,15,0
PT Abdi Negara,Tentor Psikologi,30+ hari yang lalu,"Maritengngae, Sulawesi Selatan",Paruh waktu,Diperlukan 1 tahun pengalaman kerja yang relevan untuk posisi ini Pelamar harus memiliki KTP,77617956,Pendidikan & Pelatihan,Pengajaran – Pendidikan Menengah,https://id.jobstreet.com/id/job/77617956,14,0
Moladin Digital Indonesia,Account Officer SME (Makassar),9 hari yang lalu,"Makassar, Sulawesi Selatan",Full time,"Bertanggung jawab mencapai target sales dan booking, membangun relasi konsumen, menjual produk SME Moladin Finance, dan menjaga kualitas booking.",81591145,Perbankan & Layanan Finansial,Manajemen Akun & Hubungan,https://id.jobstreet.com/id/job/81591145,16,0
,Marketing Merchant,23 hari yang lalu,"Makassar, Sulawesi Selatan",Full time,"Pria/wanita - usia 18-45th - Good attitude - Kreatif - Mampu bekerjasama dengan tim - Disiplin, bertanggung jawab Gaji bisa diinformasikan saat waw...",81280341,Pemasaran & Komunikasi,Komunikasi Pemasaran,https://id.jobstreet.com/id/job/81280341,12,0
